YBCNo	Block	Gene_Pool	Part_of_ADP	ID	Country	Source	Genotype	Genotype_edited	Seed_colors	Market_class	IDF	SDF	IDFplusSDF	Raffinose	Stachyose	Verbascose	TotalOligos	ConfirmedTDF	Cooking_time	Fe_conc	Fe_bio	Cooking_class	Dry_seed30	Soaked_seed30	Cooked_seed25	HSW_Dry
YBC281	1	Mesoamerica	n	SSIN 533	Uganda	CIAT-Uganda	SSIN 533	SSIN533	Orange	Amarillo_(dk)	17.75235853	5.311616851	23.06397538	0.290268404	2.096965601	0.371944061	2.759178066	25.82315345	16.45	56.99	55	1	9.739	19.235	18.913	32.46333333
YBC281	2	Mesoamerica	n	SSIN 533	Uganda	CIAT-Uganda	SSIN 533	SSIN533	Orange	Amarillo_(dk)	18.5261441	5.283286495	23.80943059	0.195549999	1.570486677	0.285531591	2.051568268	25.86099886	15.46666667	53.76	61	1	10.447	21.24	20.215	34.82333333
YBC295	1	Mesoamerica	n	F7157	Haiti	Farmer	F7157	F7157	Orangish brown	Amarillo_(dk)	19.12859427	5.27005366	24.39864793	0.285920604	1.848177958	0.292592397	2.426690959	26.82533889	21.53333333	74.36	28	2	6.957	13.766	13.074	23.19
YBC295	2	Mesoamerica	n	F7157	Haiti	Farmer	F7157	F7157	Orangish brown	Amarillo_(dk)	19.24775724	3.680197726	22.92795497	0.286410192	2.098697506	0.313587251	2.698694949	25.62664992	20.8	76.21	33	2	7.845	15.278	14.434	26.15
YBC077	1	Mesoamerica	n	PI476701	Mexico	US GRIN	VF-78 Mex. 108	VF-78 Mex. 108	Orangish brown	Amarillo_(dk)	19.1817178	2.762028775	21.94374657	0.248186678	1.356328452	0.315937573	1.920452703	23.86419927	37.93333333	75.38	28	3	7.41	14.806	14.329	24.7
YBC077	2	Mesoamerica	n	PI476701	Mexico	US GRIN	VF-78 Mex. 108	VF-78 Mex. 108	Orangish brown	Amarillo_(dk)	19.36358478	3.625962854	22.98954763	0.291388217	2.336518125	0.482336755	3.110243097	26.09979073	25.56666667	79.46	33	3	6.65	13.14	12.603	22.16666667
YBC011	1	Mesoamerica	n	PI207279	Colombia	US GRIN	Chiapas 36-3	Chiapas 36-3	Brown	Amarillo_(dk)	20.30750004	4.430391103	24.73789114	0.279279093	1.693289366	0.309118932	2.281687391	27.01957853	37.51666667	62.58	27	3	8.534	16.642	15.586	28.44666667
YBC011	2	Mesoamerica	n	PI207279	Colombia	US GRIN	Chiapas 36-3	Chiapas 36-3	Brown	Amarillo_(dk)	20.72600485	4.380740569	25.10674542	0.289352246	1.891216328	0.314732285	2.495300858	27.60204628	32.26666667	74.13	29	3	8.707	16.449	16.111	29.02333333
YBC099	1	Jalisco_Durango	n	PI640975	United States	US GRIN	Wimori Grease Bean	Wimori Grease Bean	Orangish brown	Amarillo_(dk)	19.95206841	4.513337666	24.46540607	0.364073237	1.903929781	0.366783216	2.634786235	27.10019231	17.76666667	62.85	98	1	11.542	22.628	22.199	38.47333333
YBC099	2	Jalisco_Durango	n	PI640975	United States	US GRIN	Wimori Grease Bean	Wimori Grease Bean	Orangish brown	Amarillo_(dk)	20.47299236	3.619950579	24.09294294	0.29531095	2.361342902	0.406031999	3.062685851	27.15562879	21.18333333	64.04	97	1	11.169	22.239	21.949	37.23
YBC138	1	Jalisco_Durango	y	ADP0522	Angola	Angola collection	Amarelo	Amarelo	Orangish brown	Amarillo_(dk)	18.37022192	6.037812103	24.40803403	0.431422413	1.799899262	0.305275464	2.536597139	26.94463116	26.13333333	60.39	39	3	10.322	19.61	19.962	34.40666667
YBC138	2	Jalisco_Durango	y	ADP0522	Angola	Angola collection	Amarelo	Amarelo	Orangish brown	Amarillo_(dk)	18.86015751	6.487874578	25.34803209	0.270095039	1.649396343	0.3240754	2.243566782	27.59159887	44.28333333	63.29	54	3	9.469	17.418	18.69	31.56333333
YBC051	1	Admix	n	PI324691	Hungary	US GRIN	Zlaty klenot	Zlaty klenot	Orangish brown	Amarillo_(dk)	18.4385924	5.334153506	23.77274591	0.175780384	2.506237173	0.564484888	3.246502445	27.01924835	19.81666667	83.25	21	2	12.387	24.089	22.978	41.29
YBC051	2	Admix	n	PI324691	Hungary	US GRIN	Zlaty klenot	Zlaty klenot	Orangish brown	Amarillo_(dk)	22.29111755	4.6555116	26.94662915	0.16545817	2.244387219	0.486638756	2.896484145	29.84311329	24.73333333	77.95	14	2	11.962	23.471	22.087	39.87333333
YBC050	1	Admix	n	PI324614	Hungary	US GRIN	Meksikanskaja	Meksikanskaja	Orangish brown	Amarillo_(dk)	15.9373101	6.871159407	22.8084695	0.17775473	1.946654435	0.444435623	2.568844788	25.37731429	32	62.65	25	3	13.649	26.022	25.591	45.49666667
YBC050	2	Admix	n	PI324614	Hungary	US GRIN	Meksikanskaja	Meksikanskaja	Orangish brown	Amarillo_(dk)	17.49865069	5.535157972	23.03380867	0.136314245	1.334218506	0.331748392	1.802281142	24.83608981	38.53333333	59.58	44	3	14.465	26.792	27.294	48.21666667
YBC075	1	Andean	n	PI458586	Netherlands	US GRIN	N. H. Bruine	N.H. Bruine	Orangish brown	Amarillo_(dk)	17.88133822	5.845425299	23.72676352	0.168348026	1.802506368	0.30339252	2.274246915	26.00101044	43.05	77.79	53	3	12.614	24.184	23.975	42.04666667
YBC075	2	Andean	n	PI458586	Netherlands	US GRIN	N. H. Bruine	N.H. Bruine	Orangish brown	Amarillo_(dk)	17.25626149	5.944400312	23.2006618	0.168867094	1.670405033	0.377422144	2.216694271	25.41735607	33.2	81.25	39	3	14.291	27.595	27.177	47.63666667
YBC005	1	Andean	n	PI171767	Turkey	US GRIN	G365	G365	Orangish brown	Amarillo_(dk)	18.95112449	5.452448605	24.4035731	0.158113169	2.117682024	0.390899452	2.666694646	27.07026774	42.41666667	63.26	67	3	14.185	27.545	28.025	47.28333333
YBC005	2	Andean	n	PI171767	Turkey	US GRIN	G365	G365	Orangish brown	Amarillo_(dk)	18.27258536	5.170400997	23.44298636	0.201803585	2.352717016	0.391714027	2.946234627	26.38922099	34.05	70.64	82	3	14.484	28.112	28.119	48.28
YBC297	1	Mesoamerica	n	F7500	Haiti	Farmer	F7500	F7500	Baige - Orange	Amarillo_(lt)	17.9502262	5.118052272	23.06827848	0.233121714	1.671556141	0.329632319	2.234310174	25.30258865	16.06666667	83.18	58	1	8.04	16.102	15.513	26.8
YBC297	2	Mesoamerica	n	F7500	Haiti	Farmer	F7500	F7500	Baige - Orange	Amarillo_(lt)	14.74526542	3.68305614	18.42832156	0.300523201	1.934204738	0.505293718	2.740021657	21.16834321	17.63333333	70.27	49	1	7.599	15.906	14.939	25.33
YBC301	1	Mesoamerica	n	M0181	Haiti	Market	M0181	M0181	Orange	Amarillo_(lt)	18.11239216	5.59782745	23.71021961	0.215493253	1.606208803	0.299803773	2.121505828	25.83172544	18.9	67.24	91	1	8.194	16.11	16.15	27.31333333
YBC301	2	Mesoamerica	n	M0181	Haiti	Market	M0181	M0181	Orange	Amarillo_(lt)	20.32451209	3.935214281	24.25972637	0.236300058	1.887814691	0.339420344	2.463535092	26.72326147	15.75	72.15	96	1	8.114	15.849	15.722	27.04666667
YBC291	1	Mesoamerica	n	F1659	Haiti	Farmer	F1659	F1659	Orangish brown	Amarillo_(lt)	16.41571537	6.031412551	22.44712792	0.237886329	1.938747519	0.316356715	2.492990563	24.94011848	18.23333333	87.71	29	1	7.651	15.369	15.031	25.50333333
YBC291	2	Mesoamerica	n	F1659	Haiti	Farmer	F1659	F1659	Orangish brown	Amarillo_(lt)	19.08575388	6.042412195	25.12816608	0.207465509	1.342923083	0.283768117	1.83415671	26.96232279	18.31666667	82.43	24	1	7.66	15.496	14.836	25.53333333
YBC308	1	Mesoamerica	n	M6967	Haiti	Market	M6967	M6967	Baige - Orange	Amarillo_(lt)	20.39376135	5.644514461	26.03827582	0.198499153	2.078968782	0.339884841	2.617352777	28.65562859	40.25	66.38	19	3	8.275	13.441	13.771	27.58333333
YBC308	2	Mesoamerica	n	M6967	Haiti	Market	M6967	M6967	Baige - Orange	Amarillo_(lt)	18.58794407	4.905571157	23.49351523	0.237374871	2.638323277	0.587419111	3.463117259	26.95663249	53.28333333	68.69	32	3	8.031	11.943	13.941	26.77
YBC307	1	Mesoamerica	n	M6964	Haiti	Market	M6964	M6964	Orange	Amarillo_(lt)	22.04939077	5.766213058	27.81560383	0.241020813	2.361713237	0.393788233	2.996522283	30.81212612	68.75	56.78	36	3	7.649	10.983	14.568	25.49666667
YBC307	2	Mesoamerica	n	M6964	Haiti	Market	M6964	M6964	Orange	Amarillo_(lt)	24.09407206	4.707569252	28.80164131	0.188928233	1.899993007	0.321243382	2.410164622	31.21180593	67.71666667	64.93	20	3	7.95	11.715	14.569	26.5
YBC010	1	Jalisco_Durango	n	PI201940	Mexico	US GRIN	Frijol Azufrado	Frijol Azufrado	Lemon yellow	Amarillo_(lt)	17.27858434	4.209182164	21.48776651	0.309050825	1.689478583	0.283387558	2.281916965	23.76968347	22.28333333	61.97	99	2	9.235	18.019	17.87	30.78333333
YBC010	2	Jalisco_Durango	n	PI201940	Mexico	US GRIN	Frijol Azufrado	Frijol Azufrado	Lemon yellow	Amarillo_(lt)	17.6399107	5.86857943	23.50849013	0.285344408	2.238805535	0.322311782	2.846461726	26.35495186	24.41666667	65.45	100	2	8.559	16.734	16.334	28.53
YBC175	1	Andean	y	ADP0621	Brazil	BeanCAP	JaloEEP558	JaloEEP558	Greenish yellow	Amarillo_(lt)	18.13519182	5.062844483	23.1980363	0.217405194	2.070076748	0.410126099	2.69760804	25.89564434	20.46666667	73.88	38	1	12.779	24.33	25.058	42.59666667
YBC175	2	Andean	y	ADP0621	Brazil	BeanCAP	JaloEEP558	JaloEEP558	Greenish yellow	Amarillo_(lt)	18.76692313	5.201758685	23.96868182	0.19972432	1.890667761	0.403574214	2.493966295	26.46264812	21.1	72.87	45	1	12.771	24.566	25.219	42.57
YBC034	1	Jalisco_Durango	n	PI312090	Mexico	US GRIN	Frijol Mantequilla	Frijol Mantequilla	Lemon yellow	Amarillo_(lt)	19.92085738	6.578589686	26.49944706	0.290058031	2.449030773	0.376631956	3.115720759	29.61516782	23.13333333	73.5	109	2	11.561	22.494	22.226	38.53666667
YBC034	2	Jalisco_Durango	n	PI312090	Mexico	US GRIN	Frijol Mantequilla	Frijol Mantequilla	Lemon yellow	Amarillo_(lt)	21.16700929	4.570422149	25.73743144	0.296690642	2.52462335	0.342577249	3.163891241	28.90132268	18.93333333	81.51	96	2	11.89	23.151	23.177	39.63333333
YBC131	1	Mesoamerica	y	ADP0462	East Africa	US GRIN	PI527540-B	PI527540-B	Greenish yellow	Amarillo_(lt)	19.86907121	5.730994129	25.60006534	0.419335519	1.993055913	0.363788335	2.776179768	28.37624511	17.85	69.26	77	2	10.961	21.889	22.125	36.53666667
YBC131	2	Mesoamerica	y	ADP0462	East Africa	US GRIN	PI527540-B	PI527540-B	Greenish yellow	Amarillo_(lt)	20.92596306	5.903493363	26.82945643	0.176134869	1.590607584	0.299632556	2.066375009	28.89583143	25.98333333	74.06	85	2	9.953	19.595	19.168	33.17666667
YBC192	1	Mesoamerica	n	Roba-1	Uganda	CIAT-Uganda	Roba-1	Roba-1	Greenish yellow	Amarillo_(lt)	16.38835166	1.841412987	18.22976464	0.225103419	2.011400832	0.375751748	2.612255999	20.84202064	16.71666667	81.43	96	1	7.352	14.697	14.262	24.50666667
YBC192	2	Mesoamerica	n	Roba-1	Uganda	CIAT-Uganda	Roba-1	Roba-1	Greenish yellow	Amarillo_(lt)	16.7522308	1.29904747	18.05127827	0.229263717	1.723300817	0.362722328	2.315286862	20.36656513	16.06666667	76.17	88	1	7.637	14.888	14.417	25.45666667
YBC014	1	Mesoamerica	n	PI209478	Nicaragua	US GRIN	G1360	G1360	Greenish yellow	Amarillo_(lt)	19.10122368	3.422443549	22.52366723	0.238708539	1.960809735	0.531344275	2.730862549	25.25452978	41.8	79.99	56	3	6.088	11.803	12.105	20.29333333
YBC014	2	Mesoamerica	n	PI209478	Nicaragua	US GRIN	G1360	G1360	Greenish yellow	Amarillo_(lt)	16.4896845	5.521118763	22.01080326	0.276552056	1.929420298	0.406513737	2.612486091	24.62328935	35.6	74.32	31	3	6.974	13.334	13.713	23.24666667
YBC057	1	Jalisco_Durango	n	PI370594	Macedonia	US GRIN	Pesal zolt	Pesal zolt	Greenish yellow	Amarillo_(lt)	17.43859035	4.648595938	22.08718629	0.321022643	2.398551451	0.449458182	3.169032276	25.25621856	23.55	82.09	56	2	11.292	22.156	22.04	37.64
YBC057	2	Jalisco_Durango	n	PI370594	Macedonia	US GRIN	Pesal zolt	Pesal zolt	Greenish yellow	Amarillo_(lt)	20.11083492	4.733334612	24.84416953	0.285171353	2.039966234	0.309951207	2.635088793	27.47925832	27.58333333	79.63	85	2	10.607	20.834	20.576	35.35666667
